model_nm,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,rpt_dt,sales_through_dt
TERRAIN D2UG                  ,51,67,65,53,63,74,86,15,0,0,0,0,8/15/2023,8/14/2023
TRAILBLAZER 9BYC              ,45,83,55,62,43,72,75,39,0,0,0,0,8/15/2023,8/14/2023
TRAVERSE C1YC                 ,132,155,212,154,140,145,172,75,0,0,0,0,8/15/2023,8/14/2023
TRAVERSE C1YC2                ,0,0,0,0,0,0,0,0,0,0,0,0,8/15/2023,8/14/2023
TRAX 9BQC1                    ,0,0,0,2,28,34,40,24,0,0,0,0,8/15/2023,8/14/2023
TRAX-K G1UC                   ,34,38,35,13,10,2,0,1,0,0,0,0,8/15/2023,8/14/2023
XT4 E2UL                      ,2,1,1,0,2,1,0,0,0,0,0,0,8/15/2023,8/14/2023
XT5 C1UL                      ,96,70,92,70,112,83,58,19,0,0,0,0,8/15/2023,8/14/2023
XT6 C1TL                      ,0,0,-4,-11,-5,-1,-2,-2,0,0,0,0,8/15/2023,8/14/2023
YUKON T1UGF                   ,25,27,44,62,47,70,68,24,0,0,0,0,8/15/2023,8/14/2023
YUKON XL T1YGF                ,27,38,72,32,47,57,54,24,0,0,0,0,8/15/2023,8/14/2023
ACADIA C1UG                   ,42,64,55,59,69,38,47,47,0,0,0,0,8/29/2023,8/28/2023
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,8/29/2023,8/28/2023
BLAZER C1UC                   ,56,40,29,51,44,42,52,29,0,0,0,0,8/29/2023,8/28/2023
BLAZER EV C234                ,0,0,0,0,0,0,0,0,0,0,0,0,8/29/2023,8/28/2023
BOLT C110                     ,-84,-146,-157,-166,-64,-26,-26,-16,0,0,0,0,8/29/2023,8/28/2023
BOLT EUV C121                 ,-7,14,3,9,10,9,5,8,0,0,0,0,8/29/2023,8/28/2023
CAMARO A1AC CONV              ,0,2,1,0,1,2,0,2,0,0,0,0,8/29/2023,8/28/2023
CAMARO A1BC COUPE             ,-1,2,5,4,-17,2,-1,0,0,0,0,0,8/29/2023,8/28/2023
CANYON 31CG2                  ,0,0,0,2,15,30,19,10,0,0,0,0,8/29/2023,8/28/2023
CANYON 31XGN                  ,84,81,82,49,25,7,3,1,0,0,0,0,8/29/2023,8/28/2023
CELESTIQ L246                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/29/2023,8/28/2023
COLORADO 31CC2                ,0,0,15,46,262,367,385,261,0,0,0,0,8/29/2023,8/28/2023
COLORADO 31XCN                ,517,447,190,61,23,2,2,1,0,0,0,0,8/29/2023,8/28/2023
CORVETTE Y200                 ,2,4,9,5,3,3,3,7,0,0,0,0,8/29/2023,8/28/2023
CT4 A2SL                      ,2,4,1,0,1,0,1,0,0,0,0,0,8/29/2023,8/28/2023
CT5 A2LL                      ,2,2,1,2,3,3,0,0,0,0,0,0,8/29/2023,8/28/2023
ENCLAVE C1YB                  ,25,38,18,8,11,13,23,12,0,0,0,0,8/29/2023,8/28/2023
ENCORE GX 9BUB                ,67,52,74,21,78,35,67,17,0,0,0,0,8/29/2023,8/28/2023
ENCORE G1UB                   ,24,36,24,27,12,6,10,-3,0,0,0,0,8/29/2023,8/28/2023
ENVISION E2UB                 ,585,651,971,1113,688,1016,29,1,0,0,0,0,8/29/2023,8/28/2023
ENVISTA 9BQB1                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/29/2023,8/28/2023
