model_nm,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,rpt_dt,sales_through_dt
CORVETTE Y200                 ,2,4,9,5,3,3,3,7,1,0,0,0,9/21/2023,9/20/2023
CT4 A2SL                      ,2,4,1,0,1,0,1,0,1,0,0,0,9/21/2023,9/20/2023
CT5 A2LL                      ,2,2,1,2,3,3,0,0,2,0,0,0,9/21/2023,9/20/2023
ENCLAVE C1YB                  ,25,38,18,8,11,13,23,16,11,0,0,0,9/21/2023,9/20/2023
ENCORE GX 9BUB                ,67,52,74,21,78,35,67,25,11,0,0,0,9/21/2023,9/20/2023
ENCORE G1UB                   ,24,36,24,27,12,6,10,3,3,0,0,0,9/21/2023,9/20/2023
ENVISION E2UB                 ,585,651,971,1113,688,1016,29,2,1,0,0,0,9/21/2023,9/20/2023
ENVISTA 9BQB1                 ,0,0,0,0,0,0,0,0,3,0,0,0,9/21/2023,9/20/2023
EQUINOX D2UC                  ,559,486,471,402,300,264,305,424,231,0,0,0,9/21/2023,9/20/2023
EQUINOX EV C223               ,0,0,0,0,0,0,0,0,0,0,0,0,9/21/2023,9/20/2023
ESCALADE ESV T1YLF            ,-8,-5,6,7,10,8,4,3,4,0,0,0,9/21/2023,9/20/2023
ESCALADE T1ULF                ,2,4,10,2,9,8,5,10,6,0,0,0,9/21/2023,9/20/2023
EXPRESS VAN 610               ,873,802,982,507,507,679,889,1070,702,0,0,0,9/21/2023,9/20/2023
HUM BEV BT1UG                 ,0,0,0,0,0,0,0,0,0,0,0,0,9/21/2023,9/20/2023
LCF DSL-JP I-700N             ,2,0,0,-1,-1,-1,3,3,5,0,0,0,9/21/2023,9/20/2023
LCF GAS-US I-700N             ,25,36,16,60,49,49,38,4,-8,0,0,0,9/21/2023,9/20/2023
LCF 6500XD I-700N             ,5,2,2,9,9,5,4,5,2,0,0,0,9/21/2023,9/20/2023
LYRIQ L233                    ,0,1,0,2,0,0,1,0,0,0,0,0,9/21/2023,9/20/2023
MALIBU E2SC                   ,133,111,120,91,51,39,24,89,46,0,0,0,9/21/2023,9/20/2023
PICKUP-E BEV BT1FG            ,0,0,0,0,0,0,0,2,3,0,0,0,9/21/2023,9/20/2023
SAVANA VAN 610                ,62,49,78,49,95,155,267,322,147,0,0,0,9/21/2023,9/20/2023
SIERRA T1CGF LD CREW          ,497,479,516,444,375,370,320,405,158,0,0,0,9/21/2023,9/20/2023
SIERRA T1CGH HD CREW          ,339,309,340,309,305,341,246,284,132,0,0,0,9/21/2023,9/20/2023
SIERRA T1EGF LD DBL           ,47,64,105,121,101,167,193,174,68,0,0,0,9/21/2023,9/20/2023
SIERRA T1EGH HD DBL           ,24,47,61,52,97,108,119,159,77,0,0,0,9/21/2023,9/20/2023
SIERRA T1RGF LD REG           ,24,22,26,12,33,50,53,94,53,0,0,0,9/21/2023,9/20/2023
SIERRA T1RGH HD REG           ,32,80,86,84,111,117,127,122,79,0,0,0,9/21/2023,9/20/2023
SILVERADO EV BT1CC            ,0,0,0,0,0,0,0,0,0,0,0,0,9/21/2023,9/20/2023
SILVERADO T1CCF LD CREW       ,1536,1608,1800,1349,1220,1160,1066,1163,577,0,0,0,9/21/2023,9/20/2023
SILVERADO T1CCH HD CREW       ,615,594,867,934,1068,1038,907,1110,576,0,0,0,9/21/2023,9/20/2023
SILVERADO T1ECF LD DBL        ,111,117,150,181,167,166,270,248,114,0,0,0,9/21/2023,9/20/2023
SILVERADO T1ECH HD DBL        ,140,166,174,218,208,172,115,109,66,0,0,0,9/21/2023,9/20/2023
SILVERADO T1RCF LD REG        ,44,15,25,9,11,24,14,39,50,0,0,0,9/21/2023,9/20/2023
SILVERADO T1RCH HD REG        ,64,55,87,92,154,240,199,198,88,0,0,0,9/21/2023,9/20/2023
SILVERADO 4500/5500           ,128,246,253,94,31,129,362,293,107,0,0,0,9/21/2023,9/20/2023
SPARK M2JC                    ,2,0,1,2,0,0,0,1,0,0,0,0,9/21/2023,9/20/2023
SUBURBAN T1YCF                ,33,50,88,55,79,84,69,123,55,0,0,0,9/21/2023,9/20/2023
TAHOE T1UCF                   ,86,75,126,118,104,151,122,145,106,0,0,0,9/21/2023,9/20/2023
TERRAIN D2UG                  ,51,67,65,53,63,74,86,49,23,0,0,0,9/21/2023,9/20/2023
TRAILBLAZER 9BYC              ,45,83,55,62,43,71,75,88,36,0,0,0,9/21/2023,9/20/2023
TRAVERSE C1YC                 ,132,155,212,154,140,146,172,220,84,0,0,0,9/21/2023,9/20/2023
TRAVERSE C1YC2                ,0,0,0,0,0,0,0,0,0,0,0,0,9/21/2023,9/20/2023
TRAX 9BQC1                    ,0,0,0,2,28,34,40,56,34,0,0,0,9/21/2023,9/20/2023
TRAX-K G1UC                   ,34,38,35,13,10,2,0,1,0,0,0,0,9/21/2023,9/20/2023
XT4 E2UL                      ,2,1,1,0,2,1,0,0,1,0,0,0,9/21/2023,9/20/2023
XT5 C1UL                      ,96,70,92,70,112,83,58,49,12,0,0,0,9/21/2023,9/20/2023
XT6 C1TL                      ,0,0,-4,-11,-5,-1,-2,3,0,0,0,0,9/21/2023,9/20/2023
YUKON T1UGF                   ,25,27,44,62,47,70,67,61,40,0,0,0,9/21/2023,9/20/2023
YUKON XL T1YGF                ,27,38,72,32,47,56,52,71,28,0,0,0,9/21/2023,9/20/2023
ACADIA C1UG                   ,42,64,55,59,69,39,25,0,0,0,0,0,7/22/2023,7/21/2023
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
BLAZER C1UC                   ,56,40,29,51,44,43,23,0,0,0,0,0,7/22/2023,7/21/2023
BLAZER EV C234                ,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
BOLT C110                     ,-84,-146,-157,-166,-64,-26,-16,0,0,0,0,0,7/22/2023,7/21/2023
BOLT EUV C121                 ,-7,14,3,9,10,9,1,0,0,0,0,0,7/22/2023,7/21/2023
CAMARO A1AC CONV              ,0,2,1,0,1,2,0,0,0,0,0,0,7/22/2023,7/21/2023
CAMARO A1BC COUPE             ,-1,2,5,4,-17,2,-1,0,0,0,0,0,7/22/2023,7/21/2023
CANYON 31CG2                  ,0,0,0,2,15,30,15,0,0,0,0,0,7/22/2023,7/21/2023
CANYON 31XGN                  ,84,81,82,49,25,7,1,0,0,0,0,0,7/22/2023,7/21/2023
CAPTIVA C140                  ,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
CELESTIQ L246                 ,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
COLORADO 31CC2                ,0,0,15,46,260,368,221,0,0,0,0,0,7/22/2023,7/21/2023
COLORADO 31XCN                ,517,447,190,61,23,2,2,0,0,0,0,0,7/22/2023,7/21/2023
CORVETTE Y200                 ,2,4,9,5,3,3,1,0,0,0,0,0,7/22/2023,7/21/2023
CT4 A2SL                      ,2,4,1,0,1,0,0,0,0,0,0,0,7/22/2023,7/21/2023
CT5 A2LL                      ,2,2,1,2,3,3,0,0,0,0,0,0,7/22/2023,7/21/2023
ENCLAVE C1YB                  ,25,38,18,8,11,13,5,0,0,0,0,0,7/22/2023,7/21/2023
ENCORE GX 9BUB                ,67,52,74,21,78,35,20,0,0,0,0,0,7/22/2023,7/21/2023
ENCORE G1UB                   ,24,36,24,27,15,6,5,0,0,0,0,0,7/22/2023,7/21/2023
ENVISION E2UB                 ,585,651,971,1113,688,1017,7,0,0,0,0,0,7/22/2023,7/21/2023
ENVISTA 9BQB1                 ,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
EQUINOX D2UC                  ,559,486,472,403,300,267,167,0,0,0,0,0,7/22/2023,7/21/2023
EQUINOX EV C223               ,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
ESCALADE ESV T1YLF            ,-8,-5,6,7,10,8,7,0,0,0,0,0,7/22/2023,7/21/2023
ESCALADE T1ULF                ,2,4,10,2,9,8,3,0,0,0,0,0,7/22/2023,7/21/2023
EXPRESS VAN 610               ,881,810,997,510,514,689,580,0,0,0,0,0,7/22/2023,7/21/2023
HUM BEV BT1UG                 ,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
LCF DSL-JP I-700N             ,2,0,0,-1,-1,-1,2,0,0,0,0,0,7/22/2023,7/21/2023
LCF GAS-US I-700N             ,25,39,18,60,49,50,19,0,0,0,0,0,7/22/2023,7/21/2023
LCF 6500XD I-700N             ,5,2,2,9,9,5,2,0,0,0,0,0,7/22/2023,7/21/2023
LYRIQ L233                    ,0,1,0,2,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
MALIBU E2SC                   ,133,111,120,91,51,39,22,0,0,0,0,0,7/22/2023,7/21/2023
PICKUP-E BEV BT1FG            ,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
SAVANA VAN 610                ,62,49,78,49,115,156,162,0,0,0,0,0,7/22/2023,7/21/2023
SIERRA T1CGF LD CREW          ,497,479,518,444,380,371,185,0,0,0,0,0,7/22/2023,7/21/2023
SIERRA T1CGH HD CREW          ,339,309,341,311,307,344,116,0,0,0,0,0,7/22/2023,7/21/2023
SIERRA T1EGF LD DBL           ,47,64,105,121,103,172,98,0,0,0,0,0,7/22/2023,7/21/2023
SIERRA T1EGH HD DBL           ,24,47,61,52,98,109,54,0,0,0,0,0,7/22/2023,7/21/2023
SIERRA T1RGF LD REG           ,24,22,26,12,33,51,27,0,0,0,0,0,7/22/2023,7/21/2023
SIERRA T1RGH HD REG           ,32,80,86,84,112,119,79,0,0,0,0,0,7/22/2023,7/21/2023
SILVERADO EV BT1CC            ,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
SILVERADO T1CCF LD CREW       ,1536,1607,1801,1352,1228,1169,578,0,0,0,0,0,7/22/2023,7/21/2023
SILVERADO T1CCH HD CREW       ,616,595,871,936,1072,1044,441,0,0,0,0,0,7/22/2023,7/21/2023
SILVERADO T1ECF LD DBL        ,111,117,151,181,170,170,126,0,0,0,0,0,7/22/2023,7/21/2023
SILVERADO T1ECH HD DBL        ,140,166,175,219,208,172,81,0,0,0,0,0,7/22/2023,7/21/2023
SILVERADO T1RCF LD REG        ,44,15,25,9,11,24,11,0,0,0,0,0,7/22/2023,7/21/2023
SILVERADO T1RCH HD REG        ,64,56,89,92,156,242,126,0,0,0,0,0,7/22/2023,7/21/2023
SILVERADO 4500/5500           ,128,246,253,92,31,129,225,0,0,0,0,0,7/22/2023,7/21/2023
SPARK M2JC                    ,2,0,1,2,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
SUBURBAN T1YCF                ,33,50,88,56,79,84,40,0,0,0,0,0,7/22/2023,7/21/2023
TAHOE T1UCF                   ,86,76,126,118,104,155,66,0,0,0,0,0,7/22/2023,7/21/2023
TERRAIN D2UG                  ,51,67,65,53,63,74,48,0,0,0,0,0,7/22/2023,7/21/2023
TRAILBLAZER 9BYC              ,45,83,55,62,43,72,41,0,0,0,0,0,7/22/2023,7/21/2023
TRAVERSE C1YC                 ,132,155,212,154,141,145,88,0,0,0,0,0,7/22/2023,7/21/2023
TRAVERSE C1YC2                ,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2023,7/21/2023
TRAX 9BQC1                    ,0,0,0,2,28,34,22,0,0,0,0,0,7/22/2023,7/21/2023
TRAX-K G1UC                   ,34,38,35,13,10,2,0,0,0,0,0,0,7/22/2023,7/21/2023
XT4 E2UL                      ,2,1,1,0,2,1,0,0,0,0,0,0,7/22/2023,7/21/2023
XT5 C1UL                      ,96,70,92,70,112,83,57,0,0,0,0,0,7/22/2023,7/21/2023
XT6 C1TL                      ,0,0,-4,-11,-5,-1,0,0,0,0,0,0,7/22/2023,7/21/2023
YUKON T1UGF                   ,25,27,44,62,47,71,41,0,0,0,0,0,7/22/2023,7/21/2023
YUKON XL T1YGF                ,27,38,73,32,47,60,31,0,0,0,0,0,7/22/2023,7/21/2023
ACADIA C1UG                   ,42,64,55,59,69,38,47,64,13,0,0,0,9/12/2023,9/11/2023
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,9/12/2023,9/11/2023
BLAZER C1UC                   ,56,40,29,51,44,42,52,41,10,0,0,0,9/12/2023,9/11/2023
BLAZER EV C234                ,0,0,0,0,0,0,0,0,0,0,0,0,9/12/2023,9/11/2023
BOLT C110                     ,-84,-146,-157,-166,-64,-26,-26,-22,-7,0,0,0,9/12/2023,9/11/2023
BOLT EUV C121                 ,-7,14,3,9,10,9,5,12,-3,0,0,0,9/12/2023,9/11/2023
CAMARO A1AC CONV              ,0,2,1,0,1,2,0,2,0,0,0,0,9/12/2023,9/11/2023
CAMARO A1BC COUPE             ,-1,2,5,4,-17,2,-1,0,0,0,0,0,9/12/2023,9/11/2023
CANYON 31CG2                  ,0,0,0,2,15,30,19,16,0,0,0,0,9/12/2023,9/11/2023
CANYON 31XGN                  ,84,81,82,49,25,7,3,1,0,0,0,0,9/12/2023,9/11/2023
CELESTIQ L246                 ,0,0,0,0,0,0,0,0,0,0,0,0,9/12/2023,9/11/2023
COLORADO 31CC2                ,0,0,15,46,262,367,381,332,43,0,0,0,9/12/2023,9/11/2023
COLORADO 31XCN                ,517,447,190,61,23,1,2,2,0,0,0,0,9/12/2023,9/11/2023
CORVETTE Y200                 ,2,4,9,5,3,3,3,7,0,0,0,0,9/12/2023,9/11/2023
CT4 A2SL                      ,2,4,1,0,1,0,1,0,1,0,0,0,9/12/2023,9/11/2023
CT5 A2LL                      ,2,2,1,2,3,3,0,0,0,0,0,0,9/12/2023,9/11/2023
ENCLAVE C1YB                  ,25,38,18,8,11,13,23,16,3,0,0,0,9/12/2023,9/11/2023
ENCORE GX 9BUB                ,67,52,74,21,78,35,67,25,6,0,0,0,9/12/2023,9/11/2023
ENCORE G1UB                   ,24,36,24,27,12,6,10,3,3,0,0,0,9/12/2023,9/11/2023
ENVISION E2UB                 ,585,651,971,1113,688,1016,29,2,1,0,0,0,9/12/2023,9/11/2023
ENVISTA 9BQB1                 ,0,0,0,0,0,0,0,0,1,0,0,0,9/12/2023,9/11/2023
EQUINOX D2UC                  ,559,486,471,403,300,264,305,426,97,0,0,0,9/12/2023,9/11/2023
EQUINOX EV C223               ,0,0,0,0,0,0,0,0,0,0,0,0,9/12/2023,9/11/2023
ESCALADE ESV T1YLF            ,-8,-5,6,7,10,8,4,3,0,0,0,0,9/12/2023,9/11/2023
ESCALADE T1ULF                ,2,4,10,2,9,8,5,10,4,0,0,0,9/12/2023,9/11/2023
EXPRESS VAN 610               ,880,802,991,510,512,683,892,1072,327,0,0,0,9/12/2023,9/11/2023
HUM BEV BT1UG                 ,0,0,0,0,0,0,0,0,0,0,0,0,9/12/2023,9/11/2023
LCF DSL-JP I-700N             ,2,0,0,-1,-1,-1,3,3,2,0,0,0,9/12/2023,9/11/2023
LCF GAS-US I-700N             ,25,36,16,60,49,49,38,4,0,0,0,0,9/12/2023,9/11/2023
LCF 6500XD I-700N             ,5,2,2,9,9,5,4,5,1,0,0,0,9/12/2023,9/11/2023
LYRIQ L233                    ,0,1,0,2,0,0,1,0,0,0,0,0,9/12/2023,9/11/2023
MALIBU E2SC                   ,133,111,120,91,51,39,24,89,13,0,0,0,9/12/2023,9/11/2023
PICKUP-E BEV BT1FG            ,0,0,0,0,0,0,0,2,2,0,0,0,9/12/2023,9/11/2023
SAVANA VAN 610                ,62,49,78,49,108,155,267,322,40,0,0,0,9/12/2023,9/11/2023
SIERRA T1CGF LD CREW          ,497,479,516,444,375,370,320,403,62,0,0,0,9/12/2023,9/11/2023
SIERRA T1CGH HD CREW          ,339,309,340,309,305,341,246,287,51,0,0,0,9/12/2023,9/11/2023
SIERRA T1EGF LD DBL           ,47,64,105,121,101,167,193,174,31,0,0,0,9/12/2023,9/11/2023
SIERRA T1EGH HD DBL           ,24,47,61,52,97,108,119,158,22,0,0,0,9/12/2023,9/11/2023
SIERRA T1RGF LD REG           ,24,22,26,12,33,50,53,94,18,0,0,0,9/12/2023,9/11/2023
SIERRA T1RGH HD REG           ,32,80,86,84,111,118,127,123,30,0,0,0,9/12/2023,9/11/2023
SILVERADO EV BT1CC            ,0,0,0,0,0,0,0,0,0,0,0,0,9/12/2023,9/11/2023
SILVERADO T1CCF LD CREW       ,1536,1608,1800,1349,1221,1163,1066,1170,204,0,0,0,9/12/2023,9/11/2023
SILVERADO T1CCH HD CREW       ,615,595,867,934,1068,1039,909,1116,250,0,0,0,9/12/2023,9/11/2023
SILVERADO T1ECF LD DBL        ,111,117,151,181,167,166,270,248,47,0,0,0,9/12/2023,9/11/2023
SILVERADO T1ECH HD DBL        ,140,166,174,219,207,172,116,110,35,0,0,0,9/12/2023,9/11/2023
SILVERADO T1RCF LD REG        ,44,15,25,9,11,24,14,39,10,0,0,0,9/12/2023,9/11/2023
SILVERADO T1RCH HD REG        ,64,55,87,92,155,240,199,196,26,0,0,0,9/12/2023,9/11/2023
SILVERADO 4500/5500           ,128,246,253,94,31,129,362,295,48,0,0,0,9/12/2023,9/11/2023
SPARK M2JC                    ,2,0,1,2,0,0,0,1,0,0,0,0,9/12/2023,9/11/2023
SUBURBAN T1YCF                ,33,50,88,55,79,84,70,124,23,0,0,0,9/12/2023,9/11/2023
TAHOE T1UCF                   ,86,75,126,118,104,151,122,146,46,0,0,0,9/12/2023,9/11/2023
TERRAIN D2UG                  ,51,67,65,53,63,74,86,50,12,0,0,0,9/12/2023,9/11/2023
TRAILBLAZER 9BYC              ,45,83,55,62,43,72,75,88,19,0,0,0,9/12/2023,9/11/2023
TRAVERSE C1YC                 ,132,155,212,154,140,146,172,220,28,0,0,0,9/12/2023,9/11/2023
TRAVERSE C1YC2                ,0,0,0,0,0,0,0,0,0,0,0,0,9/12/2023,9/11/2023
TRAX 9BQC1                    ,0,0,0,2,28,34,40,57,12,0,0,0,9/12/2023,9/11/2023
TRAX-K G1UC                   ,34,38,35,13,10,2,0,1,0,0,0,0,9/12/2023,9/11/2023
XT4 E2UL                      ,2,1,1,0,2,1,0,0,0,0,0,0,9/12/2023,9/11/2023
XT5 C1UL                      ,96,70,92,70,112,83,58,49,12,0,0,0,9/12/2023,9/11/2023
XT6 C1TL                      ,0,0,-4,-11,-5,-1,-2,3,0,0,0,0,9/12/2023,9/11/2023
YUKON T1UGF                   ,25,27,44,62,47,70,67,61,19,0,0,0,9/12/2023,9/11/2023
YUKON XL T1YGF                ,27,38,72,32,47,56,52,73,9,0,0,0,9/12/2023,9/11/2023
ACADIA C1UG                   ,42,64,55,59,69,38,47,9,0,0,0,0,8/8/2023,8/7/2023
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,8/8/2023,8/7/2023
BLAZER C1UC                   ,56,40,29,51,44,42,52,6,0,0,0,0,8/8/2023,8/7/2023
BLAZER EV C234                ,0,0,0,0,0,0,0,0,0,0,0,0,8/8/2023,8/7/2023
BOLT C110                     ,-84,-146,-157,-166,-64,-26,-26,-5,0,0,0,0,8/8/2023,8/7/2023
BOLT EUV C121                 ,-7,14,3,9,10,9,5,0,0,0,0,0,8/8/2023,8/7/2023
CAMARO A1AC CONV              ,0,2,1,0,1,2,0,0,0,0,0,0,8/8/2023,8/7/2023
CAMARO A1BC COUPE             ,-1,2,5,4,-17,2,-1,0,0,0,0,0,8/8/2023,8/7/2023
CANYON 31CG2                  ,0,0,0,2,15,30,19,3,0,0,0,0,8/8/2023,8/7/2023
CANYON 31XGN                  ,84,81,82,49,25,7,3,0,0,0,0,0,8/8/2023,8/7/2023
CELESTIQ L246                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/8/2023,8/7/2023
COLORADO 31CC2                ,0,0,15,46,262,368,389,54,0,0,0,0,8/8/2023,8/7/2023
COLORADO 31XCN                ,517,447,190,61,23,2,2,0,0,0,0,0,8/8/2023,8/7/2023
CORVETTE Y200                 ,2,4,9,5,3,3,3,1,0,0,0,0,8/8/2023,8/7/2023
CT4 A2SL                      ,2,4,1,0,1,0,1,0,0,0,0,0,8/8/2023,8/7/2023
CT5 A2LL                      ,2,2,1,2,3,3,0,0,0,0,0,0,8/8/2023,8/7/2023
ENCLAVE C1YB                  ,25,38,18,8,11,13,23,3,0,0,0,0,8/8/2023,8/7/2023
ENCORE GX 9BUB                ,67,52,74,21,78,35,67,2,0,0,0,0,8/8/2023,8/7/2023
ENCORE G1UB                   ,24,36,24,27,12,6,10,-3,0,0,0,0,8/8/2023,8/7/2023
ENVISION E2UB                 ,585,651,971,1113,688,1016,29,-1,0,0,0,0,8/8/2023,8/7/2023
ENVISTA 9BQB1                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/8/2023,8/7/2023
EQUINOX D2UC                  ,559,486,471,403,300,265,306,51,0,0,0,0,8/8/2023,8/7/2023
EQUINOX EV C223               ,0,0,0,0,0,0,0,0,0,0,0,0,8/8/2023,8/7/2023
ESCALADE ESV T1YLF            ,-8,-5,6,7,10,8,4,-1,0,0,0,0,8/8/2023,8/7/2023
ESCALADE T1ULF                ,2,4,10,2,9,8,5,2,0,0,0,0,8/8/2023,8/7/2023
EXPRESS VAN 610               ,881,806,993,510,513,684,900,164,0,0,0,0,8/8/2023,8/7/2023
HUM BEV BT1UG                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/8/2023,8/7/2023
LCF DSL-JP I-700N             ,2,0,0,-1,-1,-1,3,-1,0,0,0,0,8/8/2023,8/7/2023
LCF GAS-US I-700N             ,25,39,16,60,49,49,38,2,0,0,0,0,8/8/2023,8/7/2023
LCF 6500XD I-700N             ,5,2,2,9,9,5,4,0,0,0,0,0,8/8/2023,8/7/2023
LYRIQ L233                    ,0,1,0,2,0,0,1,1,0,0,0,0,8/8/2023,8/7/2023
MALIBU E2SC                   ,133,111,120,91,50,39,23,12,0,0,0,0,8/8/2023,8/7/2023
PICKUP-E BEV BT1FG            ,0,0,0,0,0,0,0,0,0,0,0,0,8/8/2023,8/7/2023
SAVANA VAN 610                ,62,49,78,49,115,156,267,79,0,0,0,0,8/8/2023,8/7/2023
SIERRA T1CGF LD CREW          ,497,479,517,444,379,369,321,62,0,0,0,0,8/8/2023,8/7/2023
SIERRA T1CGH HD CREW          ,339,309,341,311,307,343,250,45,0,0,0,0,8/8/2023,8/7/2023
SIERRA T1EGF LD DBL           ,47,64,105,121,102,167,198,23,0,0,0,0,8/8/2023,8/7/2023
SIERRA T1EGH HD DBL           ,24,47,61,52,97,108,119,20,0,0,0,0,8/8/2023,8/7/2023
SIERRA T1RGF LD REG           ,24,22,26,12,33,50,53,6,0,0,0,0,8/8/2023,8/7/2023
SIERRA T1RGH HD REG           ,32,80,86,84,112,119,127,21,0,0,0,0,8/8/2023,8/7/2023
SILVERADO EV BT1CC            ,0,0,0,0,0,0,0,0,0,0,0,0,8/8/2023,8/7/2023
SILVERADO T1CCF LD CREW       ,1536,1607,1801,1352,1223,1168,1080,175,0,0,0,0,8/8/2023,8/7/2023
SILVERADO T1CCH HD CREW       ,616,595,868,935,1071,1039,912,160,0,0,0,0,8/8/2023,8/7/2023
SILVERADO T1ECF LD DBL        ,111,117,151,181,168,166,274,38,0,0,0,0,8/8/2023,8/7/2023
SILVERADO T1ECH HD DBL        ,140,166,175,219,208,171,117,13,0,0,0,0,8/8/2023,8/7/2023
SILVERADO T1RCF LD REG        ,44,15,25,9,11,24,14,4,0,0,0,0,8/8/2023,8/7/2023
SILVERADO T1RCH HD REG        ,64,55,87,92,156,241,203,19,0,0,0,0,8/8/2023,8/7/2023
SILVERADO 4500/5500           ,128,246,253,94,31,129,367,54,0,0,0,0,8/8/2023,8/7/2023
SPARK M2JC                    ,2,0,1,2,0,0,0,1,0,0,0,0,8/8/2023,8/7/2023
SUBURBAN T1YCF                ,33,50,88,55,79,84,70,21,0,0,0,0,8/8/2023,8/7/2023
TAHOE T1UCF                   ,86,76,126,118,104,153,126,22,0,0,0,0,8/8/2023,8/7/2023
TERRAIN D2UG                  ,51,67,65,53,63,74,86,6,0,0,0,0,8/8/2023,8/7/2023
TRAILBLAZER 9BYC              ,45,83,55,62,43,72,76,13,0,0,0,0,8/8/2023,8/7/2023
TRAVERSE C1YC                 ,132,155,212,154,140,144,170,21,0,0,0,0,8/8/2023,8/7/2023
TRAVERSE C1YC2                ,0,0,0,0,0,0,0,0,0,0,0,0,8/8/2023,8/7/2023
TRAX 9BQC1                    ,0,0,0,2,28,34,40,13,0,0,0,0,8/8/2023,8/7/2023
TRAX-K G1UC                   ,34,38,35,13,10,2,0,1,0,0,0,0,8/8/2023,8/7/2023
XT4 E2UL                      ,2,1,1,0,2,1,0,0,0,0,0,0,8/8/2023,8/7/2023
XT5 C1UL                      ,96,70,92,70,112,83,58,11,0,0,0,0,8/8/2023,8/7/2023
XT6 C1TL                      ,0,0,-4,-11,-5,-1,-3,0,0,0,0,0,8/8/2023,8/7/2023
YUKON T1UGF                   ,25,27,44,62,47,70,68,12,0,0,0,0,8/8/2023,8/7/2023
YUKON XL T1YGF                ,27,38,72,32,47,57,54,9,0,0,0,0,8/8/2023,8/7/2023
ACADIA C1UG                   ,42,64,55,59,69,38,47,0,0,0,0,0,8/2/2023,8/1/2023
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2023,8/1/2023
BLAZER C1UC                   ,56,40,29,51,44,43,52,1,0,0,0,0,8/2/2023,8/1/2023
BLAZER EV C234                ,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2023,8/1/2023
BOLT C110                     ,-84,-146,-157,-166,-64,-26,-26,0,0,0,0,0,8/2/2023,8/1/2023
BOLT EUV C121                 ,-7,14,3,9,10,9,5,0,0,0,0,0,8/2/2023,8/1/2023
CAMARO A1AC CONV              ,0,2,1,0,1,2,0,0,0,0,0,0,8/2/2023,8/1/2023
CAMARO A1BC COUPE             ,-1,2,5,4,-17,2,-1,0,0,0,0,0,8/2/2023,8/1/2023
CANYON 31CG2                  ,0,0,0,2,15,30,19,0,0,0,0,0,8/2/2023,8/1/2023
CANYON 31XGN                  ,84,81,82,49,25,7,3,0,0,0,0,0,8/2/2023,8/1/2023
CELESTIQ L246                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2023,8/1/2023
COLORADO 31CC2                ,0,0,15,46,262,368,390,3,0,0,0,0,8/2/2023,8/1/2023
COLORADO 31XCN                ,517,447,190,61,23,2,2,0,0,0,0,0,8/2/2023,8/1/2023
CORVETTE Y200                 ,2,4,9,5,3,3,3,1,0,0,0,0,8/2/2023,8/1/2023
CT4 A2SL                      ,2,4,1,0,1,0,1,0,0,0,0,0,8/2/2023,8/1/2023
CT5 A2LL                      ,2,2,1,2,3,3,0,0,0,0,0,0,8/2/2023,8/1/2023
ENCLAVE C1YB                  ,25,38,18,8,11,13,23,2,0,0,0,0,8/2/2023,8/1/2023
ENCORE GX 9BUB                ,67,52,74,21,78,35,67,1,0,0,0,0,8/2/2023,8/1/2023
ENCORE G1UB                   ,24,36,24,27,15,6,10,0,0,0,0,0,8/2/2023,8/1/2023
ENVISION E2UB                 ,585,651,971,1113,688,1016,29,0,0,0,0,0,8/2/2023,8/1/2023
ENVISTA 9BQB1                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2023,8/1/2023
EQUINOX D2UC                  ,559,486,472,403,300,265,306,4,0,0,0,0,8/2/2023,8/1/2023
EQUINOX EV C223               ,0,0,0,0,0,0,0,0,0,0,0,0,8/2/2023,8/1/2023
ESCALADE ESV T1YLF            ,-8,-5,6,7,10,8,4,0,0,0,0,0,8/2/2023,8/1/2023
ESCALADE T1ULF                ,2,4,10,2,9,8,6,0,0,0,0,0,8/2/2023,8/1/2023
EXPRESS VAN 610               ,881,807,995,510,516,691,901,7,0,0,0,0,8/2/2023,8/1/2023
