Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000004|0|0|0|0|ACADIA                                            |GMC                 |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000003|0|0|0|0|ACADIA                                            |GMC                 |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000005|0|0|0|0|TAHOE T1XX                                        |CHEVROLET           |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000003|0|0|0|0|BLAZER                                            |CHEVROLET           |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|BOLT EV                                           |CHEVROLET           |TRUCK               |VAN/MPV                  |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000004|0|0|0|0|XT5                                               |CADILLAC            |TRUCK               |LUXURY SUV               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000001|0|0|0|0|ENCLAVE                                           |BUICK               |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|CT5                                               |CADILLAC            |CAR                 |LUXURY CAR               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000001|0|0|0|0|XT6                                               |CADILLAC            |TRUCK               |LUXURY SUV               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|WESTERN                                           |RETAIL    |2023/12/14|2023/12|0000000001|0|0|0|0|XT4                                               |CADILLAC            |TRUCK               |LUXURY SUV               |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000002|0|0|0|0|SUBURBAN T1XX                                     |CHEVROLET           |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000004|0|0|0|0|CORVETTE                                          |CHEVROLET           |CAR                 |SPORT CAR                |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000001|0|0|0|0|MALIBU                                            |CHEVROLET           |CAR                 |MID/LARGE CAR            |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |FLEET     |2023/12/14|2023/12|0000000002|0|0|0|0|TRAX                                              |CHEVROLET           |TRUCK               |NON LUXURY SUV           |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|EASTERN                                           |RETAIL    |2023/12/14|2023/12|0000000001|0|0|0|0|HUMMER EV PICKUP                                  |GMC                 |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
Canada|GMCL|CENTRAL                                           |RETAIL    |2023/12/14|2023/12|0000000001|0|0|0|0|HUMMER EV PICKUP                                  |GMC                 |TRUCK               |PICKUP                   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |   |
