"DSC_CTY"|"COD_DAY"|"SHT_COD_MNT"|"DSC_ENG_GRP_RNV"|"DSC_OPR_REG"|QTY_LIC_DAY
"BRAZIL"|"2023-11-16"|"11"|"LIGHT COMMERCIAL"|"Belem"|158
"BRAZIL"|"2023-11-06"|"11"|"PASSENGER"|"Santa catarina"|293
"BRAZIL"|"2023-11-30"|"11"|"TRUCKS"|"Interior paulista b"|23
"BRAZIL"|"2023-11-15"|"11"|"PASSENGER"|"Interior paulista b"|19
"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Centro oeste"|240
"BRAZIL"|"2023-11-20"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|41
"BRAZIL"|"2023-11-14"|"11"|"PASSENGER"|"Belo horizonte"|1662
"BRAZIL"|"2023-11-24"|"11"|"TRUCKS"|"Rio de janeiro"|23
"BRAZIL"|"2023-11-16"|"11"|"TRUCKS"|"Belem"|30
"BRAZIL"|"2023-11-03"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|23
"BRAZIL"|"2023-11-09"|"11"|"TRUCKS"|"Interior paulista a"|64
"BRAZIL"|"2023-11-24"|"11"|"PASSENGER"|"Fortaleza"|261
"BRAZIL"|"2023-11-21"|"11"|"TRUCKS"|"Fortaleza"|11
"BRAZIL"|"2023-11-27"|"11"|"TRUCKS"|"Centro oeste"|39
"BRAZIL"|"2023-11-16"|"11"|"BUS"|"Porto alegre"|6
"BRAZIL"|"2023-11-30"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|66
"BRAZIL"|"2023-11-06"|"11"|"TRUCKS"|"Porto alegre"|44
"BRAZIL"|"2023-11-20"|"11"|"TRUCKS"|"Santa catarina"|26
"BRAZIL"|"2023-11-22"|"11"|"TRUCKS"|"Interior mg"|25
"BRAZIL"|"2023-11-09"|"11"|"LIGHT COMMERCIAL"|"Parana"|131
"BRAZIL"|"2023-11-10"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|61
"BRAZIL"|"2023-11-30"|"11"|"TRUCKS"|"Interior paulista a"|44
"BRAZIL"|"2023-11-21"|"11"|"TRUCKS"|"Interior paulista a"|33
"BRAZIL"|"2023-11-20"|"11"|"PASSENGER"|"Interior paulista b"|23
"BRAZIL"|"2023-11-01"|"11"|"LIGHT COMMERCIAL"|"Fortaleza"|54
"BRAZIL"|"2023-11-13"|"11"|"TRUCKS"|"Fortaleza"|9
"BRAZIL"|"2023-11-10"|"11"|"PASSENGER"|"Espirito santo"|120
"BRAZIL"|"2023-11-25"|"11"|"PASSENGER"|"Brasilia"|26
"BRAZIL"|"2023-11-28"|"11"|"TRUCKS"|"Belem"|27
"BRAZIL"|"2023-11-23"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|65
"BRAZIL"|"2023-11-14"|"11"|"TRUCKS"|"Parana"|68
"BRAZIL"|"2023-11-22"|"11"|"LIGHT COMMERCIAL"|"Espirito santo"|66
"BRAZIL"|"2023-11-16"|"11"|"TRUCKS"|"Interior paulista a"|32
"BRAZIL"|"2023-11-20"|"11"|"TRUCKS"|"Centro oeste"|33
"BRAZIL"|"2023-11-28"|"11"|"TRUCKS"|"Sao paulo"|75
"BRAZIL"|"2023-11-13"|"11"|"BUS"|"Sao paulo"|22
"BRAZIL"|"2023-11-24"|"11"|"TRUCKS"|"Recife"|35
"BRAZIL"|"2023-11-04"|"11"|"LIGHT COMMERCIAL"|"Interior paulista a"|9
"BRAZIL"|"2023-11-23"|"11"|"BUS"|"Espirito santo"|1
"BRAZIL"|"2023-11-11"|"11"|"TRUCKS"|"Sao paulo"|2
"BRAZIL"|"2023-11-07"|"11"|"TRUCKS"|"Porto alegre"|57
"BRAZIL"|"2023-11-17"|"11"|"TRUCKS"|"Interior paulista a"|30
"BRAZIL"|"2023-11-05"|"11"|"PASSENGER"|"Parana"|3
"BRAZIL"|"2023-11-25"|"11"|"PASSENGER"|"Espirito santo"|24
"BRAZIL"|"2023-11-14"|"11"|"BUS"|"Parana"|16
"BRAZIL"|"2023-11-10"|"11"|"TRUCKS"|"Belo horizonte"|17
"BRAZIL"|"2023-11-10"|"11"|"BUS"|"Rio de janeiro"|15
"BRAZIL"|"2023-11-04"|"11"|"PASSENGER"|"Belem"|13
"BRAZIL"|"2023-11-10"|"11"|"LIGHT COMMERCIAL"|"Fortaleza"|63
"BRAZIL"|"2023-11-20"|"11"|"TRUCKS"|"Parana"|30
"BRAZIL"|"2023-11-22"|"11"|"TRUCKS"|"Brasilia"|10
"BRAZIL"|"2023-11-04"|"11"|"LIGHT COMMERCIAL"|"Sao paulo"|5
"BRAZIL"|"2023-11-09"|"11"|"BUS"|"Belem"|3
"BRAZIL"|"2023-11-07"|"11"|"TRUCKS"|"Sao paulo"|30
"BRAZIL"|"2023-11-20"|"11"|"TRUCKS"|"Espirito santo"|7
"BRAZIL"|"2023-11-16"|"11"|"BUS"|"Interior mg"|9
"BRAZIL"|"2023-11-05"|"11"|"TRUCKS"|"Centro oeste"|2
"BRAZIL"|"2023-11-20"|"11"|"BUS"|"Belem"|3
"BRAZIL"|"2023-11-08"|"11"|"TRUCKS"|"Porto alegre"|36
"BRAZIL"|"2023-11-07"|"11"|"TRUCKS"|"Fortaleza"|9
"BRAZIL"|"2023-11-06"|"11"|"TRUCKS"|"Centro oeste"|38
"BRAZIL"|"2023-11-20"|"11"|"LIGHT COMMERCIAL"|"Fortaleza"|40
"BRAZIL"|"2023-11-02"|"11"|"LIGHT COMMERCIAL"|"Interior paulista b"|3
"BRAZIL"|"2023-11-13"|"11"|"TRUCKS"|"Rio de janeiro"|23
"BRAZIL"|"2023-11-16"|"11"|"BUS"|"Recife"|7
"BRAZIL"|"2023-11-01"|"11"|"PASSENGER"|"Belo horizonte"|11
"BRAZIL"|"2023-11-01"|"11"|"BUS"|"Santa catarina"|3
"BRAZIL"|"2023-11-17"|"11"|"TRUCKS"|"Belo horizonte"|14
"BRAZIL"|"2023-11-28"|"11"|"BUS"|"Belo horizonte"|10
"BRAZIL"|"2023-11-20"|"11"|"LIGHT COMMERCIAL"|"Interior paulista a"|2
"BRAZIL"|"2023-11-27"|"11"|"BUS"|"Interior paulista b"|1
"BRAZIL"|"2023-11-11"|"11"|"LIGHT COMMERCIAL"|"Brasilia"|10
"BRAZIL"|"2023-11-16"|"11"|"BUS"|"Sao paulo"|2
"BRAZIL"|"2023-11-22"|"11"|"BUS"|"Interior mg"|4
"BRAZIL"|"2023-11-01"|"11"|"BUS"|"Belem"|9
"BRAZIL"|"2023-11-13"|"11"|"BUS"|"Centro oeste"|1
"BRAZIL"|"2023-11-23"|"11"|"BUS"|"Porto alegre"|1
"BRAZIL"|"2023-11-17"|"11"|"BUS"|"Santa catarina"|2
"BRAZIL"|"2023-11-04"|"11"|"PASSENGER"|"Parana"|3
"BRAZIL"|"2023-11-17"|"11"|"TRUCKS"|"Brasilia"|4
"BRAZIL"|"2023-11-26"|"11"|"TRUCKS"|"Brasilia"|4
"BRAZIL"|"2023-11-09"|"11"|"BUS"|"Porto alegre"|6
"BRAZIL"|"2023-11-20"|"11"|"BUS"|"Fortaleza"|2
"BRAZIL"|"2023-11-14"|"11"|"BUS"|"Recife"|10
"BRAZIL"|"2023-11-23"|"11"|"BUS"|"Interior paulista a"|8
"BRAZIL"|"2023-11-30"|"11"|"BUS"|"Recife"|2
"BRAZIL"|"2023-11-20"|"11"|"BUS"|"Porto alegre"|8
"BRAZIL"|"2023-12-09"|"12"|"PASSENGER"|"Belem"|44
"BRAZIL"|"2023-12-09"|"12"|"PASSENGER"|"Interior paulista b"|26
"BRAZIL"|"2023-12-09"|"12"|"PASSENGER"|"Parana"|8
"BRAZIL"|"2023-12-09"|"12"|"LIGHT COMMERCIAL"|"Interior paulista a"|7
"BRAZIL"|"2023-12-09"|"12"|"PASSENGER"|"Recife"|3
"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Recife"|230
"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Belem"|157
"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Interior paulista b"|415
"BRAZIL"|"2023-12-05"|"12"|"PASSENGER"|"Centro oeste"|485
"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Brasilia"|61
"BRAZIL"|"2023-12-05"|"12"|"LIGHT COMMERCIAL"|"Fortaleza"|55
"BRAZIL"|"2023-12-05"|"12"|"BUS"|"Recife"|5
"BRAZIL"|"2023-12-08"|"12"|"BUS"|"Sao paulo"|7
"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Interior mg"|175
"BRAZIL"|"2023-12-08"|"12"|"LIGHT COMMERCIAL"|"Porto alegre"|86
"BRAZIL"|"2023-12-12"|"12"|"PASSENGER"|"Belo horizonte"|1093
"BRAZIL"|"2023-12-12"|"12"|"TRUCKS"|"Belo horizonte"|15
