NTL_CD,VEH_TYPE_GRP_CD,EFF_MNTH_DT,INDY_OUTLK_QTY,INDY_SEASNLY_ADJ_ANNL_NBR,LAST_UPDT_USR_ID,LAST_UPDT_DT
US,1,45017,254338,3,Global Sales Reporting ,11/22/2022
US,2,45017,1040662,12.3,Global Sales Reporting ,11/22/2022
