fs_sales_org_frcst_poc.sales_grp_cd,fs_sales_org_frcst_poc.frcst_dt,fs_sales_org_frcst_poc.mktg_org_type_nbr,fs_sales_org_frcst_poc.mktg_org_lvl_1_cd,fs_sales_org_frcst_poc.mktg_org_lvl_2_cd,fs_sales_org_frcst_poc.mktg_org_lvl_3_cd,fs_sales_org_frcst_poc.mktg_org_lvl_4_cd,fs_sales_org_frcst_poc.mktg_org_lvl_5_cd,fs_sales_org_frcst_poc.mktg_org_lvl_6_cd,fs_sales_org_frcst_poc.sell_src_cd,fs_sales_org_frcst_poc.kpi_cd,fs_sales_org_frcst_poc.frcst_model_cd,fs_sales_org_frcst_poc.kpi_val,fs_sales_org_frcst_poc.src_sys_last_upd_usr_id,fs_sales_org_frcst_poc.src_sys_last_upd_ts
US,10/1/2023,1,0,,,,,,538,NULL,4,5500,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,548,NULL,4,3030,UNKNOWN,NULL
US,4/1/2023,1,0,,,,,,548,NULL,4,4000,UNKNOWN,NULL
US,5/1/2023,1,0,,,,,,548,NULL,4,3780,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,548,NULL,4,3900,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,548,NULL,4,2800,UNKNOWN,NULL
US,1/1/2023,1,0,,,,,,495,NULL,4,12750,UNKNOWN,NULL
US,5/1/2023,1,0,,,,,,495,NULL,4,12500,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,495,NULL,4,11300,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,495,NULL,4,10650,UNKNOWN,NULL
US,8/1/2023,1,0,,,,,,495,NULL,4,13500,UNKNOWN,NULL
US,9/1/2023,1,0,,,,,,495,NULL,4,11200,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,495,NULL,4,13450,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,547,NULL,4,700,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,547,NULL,4,1360,UNKNOWN,NULL
US,8/1/2023,1,0,,,,,,547,NULL,4,1200,UNKNOWN,NULL
US,9/1/2023,1,0,,,,,,547,NULL,4,1200,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,547,NULL,4,1175,UNKNOWN,NULL
US,1/1/2023,1,0,,,,,,546,NULL,4,1420,UNKNOWN,NULL
US,2/1/2023,1,0,,,,,,546,NULL,4,1450,UNKNOWN,NULL
US,3/1/2023,1,0,,,,,,546,NULL,4,1775,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,546,NULL,4,2010,UNKNOWN,NULL
US,8/1/2023,1,0,,,,,,560,NULL,4,200,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,560,NULL,4,1700,UNKNOWN,NULL
US,1/1/2023,1,0,,,,,,125,NULL,4,300,UNKNOWN,NULL
US,4/1/2023,1,0,,,,,,125,NULL,4,350,UNKNOWN,NULL
US,6/1/2023,1,0,,,,,,125,NULL,4,671,UNKNOWN,NULL
US,7/1/2023,1,0,,,,,,125,NULL,4,1000,UNKNOWN,NULL
US,10/1/2023,1,0,,,,,,125,NULL,4,1027,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,125,NULL,4,500,UNKNOWN,NULL
US,8/1/2023,1,0,,,,,,554,NULL,4,5,UNKNOWN,NULL
US,11/1/2023,1,0,,,,,,554,NULL,4,350,UNKNOWN,NULL
